corridor_name,MainDTN,NFCh30m,NSCh2pD,TotCha,ChEBM,ChERM,ChE30,MDTN_B,MDTN_R,trucks_per_fast_charger,trucks_per_slow_charger,total_trucks_per_charger,fast_slow_ratio,fast_charger_percent,energy_per_fast_charger,energy_per_slow_charger,energy_per_truck,recommended_fast_chargers,fast_charger_deficit,charger_need_score
Karawanken Autobahn Highway Corridor (Keutschach am See),136.63,5.0,21.0,26.0,47.56,24.4,71.96,95.34,41.28,19.068,1.9657142857142857,5.255,0.23809523809523808,19.23076923076923,9.512,1.1619047619047618,0.5266778891897826,2.0,0,0.37232359344938243
Motorway E 20 Corridor (Skara),160.16,4.0,39.0,43.0,23.0,39.59,62.58,82.27,77.89,20.5675,1.9971794871794872,3.7246511627906975,0.10256410256410256,9.30232558139535,5.75,1.0151282051282051,0.39073426573426573,2.0,0,0.3710011507861395
Motorway Autopista de la Mediterrània Corridor (Sant Feliu de Buixalleu),99.02,3.0,22.0,25.0,35.77,28.03,63.8,55.63,43.39,18.543333333333333,1.9722727272727274,3.9608,0.13636363636363635,12.0,11.923333333333334,1.2740909090909092,0.6443142799434458,2.0,0,0.3707030168664002
Motorway Autovía de Castilla Corridor (Valladolid),92.9,4.0,9.0,13.0,44.88,9.72,54.6,76.52,16.38,19.13,1.8199999999999998,7.1461538461538465,0.4444444444444444,30.76923076923077,11.22,1.08,0.5877287405812701,2.0,0,0.37063959312757006
D2 Highway Corridor (Tvrdonice),98.88,4.0,12.0,16.0,45.18,14.61,59.8,75.67,23.21,18.9175,1.9341666666666668,6.18,0.3333333333333333,25.0,11.295,1.2175,0.6047734627831716,2.0,0,0.370621002267276
A10 Route (Mediniai),104.61,5.0,5.0,10.0,52.87,3.94,56.81,95.78,8.83,19.156,1.766,10.461,1.0,50.0,10.574,0.788,0.5430647165662938,2.0,0,0.3701722741477965
Motorway A 3 Corridor (Kühschlag),149.42,4.0,39.0,43.0,39.48,40.76,80.23,73.22,76.19,18.305,1.9535897435897436,3.474883720930232,0.10256410256410256,9.30232558139535,9.87,1.0451282051282051,0.5369428456699238,2.0,0,0.36980612537481733
Trasa Bohaterów Bitwy Warszawskiej 1920 r. Highway Corridor (Lutkówka),117.45,5.0,11.0,16.0,49.55,10.85,60.39,95.75,21.7,19.15,1.9727272727272727,7.340625,0.45454545454545453,31.25,9.91,0.9863636363636363,0.5141762452107279,2.0,0,0.3695564112767147
S5 Highway Corridor (Pławno),158.35,5.0,32.0,37.0,40.5,28.41,68.9,95.42,62.92,19.084,1.96625,4.27972972972973,0.15625,13.513513513513514,8.1,0.8878125,0.43511209346384594,2.0,0,0.3693667177225554
Motorway A 4 Corridor (Landkreis Gotha),130.96,4.0,29.0,33.0,39.41,29.86,69.27,74.89,56.07,18.7225,1.933448275862069,3.9684848484848487,0.13793103448275862,12.121212121212121,9.8525,1.029655172413793,0.5289401343921808,2.0,0,0.3684269487151781
Motorway Autostrada Serenissima Corridor (San Giorgio in Bosco),112.11,4.0,20.0,24.0,47.18,27.31,74.49,72.14,39.97,18.035,1.9985,4.67125,0.2,16.666666666666668,11.795,1.3655,0.6644367139416644,2.0,0,0.367814504843485
Motorway A 3 Corridor (Wertheim),104.82,3.0,24.0,27.0,30.64,24.75,55.38,57.55,47.27,19.183333333333334,1.9695833333333335,3.882222222222222,0.125,11.11111111111111,10.213333333333333,1.03125,0.5283342873497425,2.0,0,0.36778713058333823
35 Corridor (Trstěnice),92.47,3.0,19.0,22.0,34.46,21.01,55.47,56.21,36.26,18.736666666666668,1.9084210526315788,4.203181818181818,0.15789473684210525,13.636363636363637,11.486666666666666,1.1057894736842107,0.5998702281821131,2.0,0,0.36744010421763856
Motorway M5 Corridor (Tewkesbury),59.05,3.0,1.0,4.0,35.95,0.68,36.62,58.09,0.95,19.363333333333333,0.95,14.7625,3.0,75.0,11.983333333333334,0.68,0.6201524132091448,2.0,0,0.3673868556103615
E 371 Corridor (Lubienia),91.43,4.0,5.0,9.0,32.75,4.34,37.09,82.84,8.59,20.71,1.718,10.158888888888889,0.8,44.44444444444444,8.1875,0.868,0.40566553647599257,2.0,0,0.3670125995963525
Motorway A74(M) Corridor (Ae),105.78,5.0,3.0,8.0,42.64,3.36,46.0,100.42,5.36,20.084,1.7866666666666668,13.2225,1.6666666666666667,62.5,8.528,1.1199999999999999,0.4348648137644167,3.0,0,0.3667090426945772
Motorway Autostrada Wolności Corridor (Napachanie),156.31,5.0,33.0,38.0,44.89,34.7,79.59,92.05,64.25,18.41,1.946969696969697,4.113421052631579,0.15151515151515152,13.157894736842104,8.978,1.0515151515151515,0.5091804746977161,2.0,0,0.3667014971457428
Motorway A 38 Corridor (Hohenstein),126.2,4.0,26.0,30.0,40.11,27.43,67.54,74.4,51.8,18.6,1.9923076923076921,4.206666666666667,0.15384615384615385,13.333333333333334,10.0275,1.055,0.5351822503961966,2.0,0,0.3664736734235706
Motorway A 24 Corridor (Wittstock/Dosse),143.02,5.0,26.0,31.0,48.18,27.78,75.96,91.54,51.48,18.308,1.98,4.613548387096775,0.19230769230769232,16.129032258064516,9.636,1.0684615384615386,0.5311145294364423,2.0,0,0.3656998076676841
Motorway E 4 Corridor (Uppsala),118.57,4.0,24.0,28.0,47.25,30.18,77.42,70.69,47.88,17.6725,1.995,4.234642857142857,0.16666666666666666,14.285714285714286,11.8125,1.2575,0.6529476258750105,2.0,0,0.3655653553701306
Motorway Autoroute des Anglais Corridor (La Ferté-Chevresis),69.88,3.0,8.0,11.0,38.97,10.65,49.62,54.94,14.94,18.313333333333333,1.8675,6.352727272727273,0.375,27.272727272727273,12.99,1.33125,0.7100744132799084,2.0,0,0.3654860090094654
Wiener Außenring Autobahn Highway Corridor (Mitterndorf an der Fischa),77.94,3.0,10.0,13.0,30.75,10.34,41.09,59.03,18.9,19.676666666666666,1.89,5.995384615384615,0.3,23.076923076923077,10.25,1.034,0.5272004105722351,2.0,0,0.36477064850212676
Husova Corridor (Brandýs nad Orlicí),88.32,4.0,7.0,11.0,45.24,7.78,53.02,74.89,13.43,18.7225,1.9185714285714286,8.02909090909091,0.5714285714285714,36.36363636363637,11.31,1.1114285714285714,0.6003170289855073,2.0,0,0.36437263421983146
Rheintal/Walgau Autobahn Highway Corridor (Laterns),103.0,5.0,5.0,10.0,51.64,4.15,55.79,94.19,8.81,18.838,1.762,10.3,1.0,50.0,10.328,0.8300000000000001,0.5416504854368932,2.0,0,0.36352258261371007
S7 Highway Corridor (Maliszów),89.16,4.0,5.0,9.0,34.84,3.91,38.75,80.73,8.43,20.1825,1.686,9.906666666666666,0.8,44.44444444444444,8.71,0.782,0.4346119336025124,2.0,0,0.36339655973031987
Motorway A1 Corridor (Lenart),111.92,5.0,8.0,13.0,46.06,7.32,53.38,95.91,16.0,19.182,2.0,8.60923076923077,0.625,38.46153846153846,9.212,0.915,0.47694781987133666,2.0,0,0.3625184402825615
М1 Highway Corridor (Сакалоўскі сельскі Савет),66.53,3.0,4.0,7.0,29.74,3.16,32.9,60.0,6.53,20.0,1.6325,9.504285714285714,0.75,42.857142857142854,9.913333333333332,0.79,0.4945137531940478,2.0,0,0.36222359680017846
L'Aquitaine Highway Corridor (Baccon),233.01,4.0,86.0,90.0,37.86,103.09,140.96,62.31,170.7,15.5775,1.9848837209302324,2.589,0.046511627906976744,4.444444444444445,9.465,1.198720930232558,0.604952577142612,2.0,0,0.3613586393562892
Motorway Autoroute du Soleil Corridor (Saint-Cannat),147.81,3.0,49.0,52.0,34.29,68.2,102.49,50.29,97.52,16.763333333333332,1.990204081632653,2.8425000000000002,0.061224489795918366,5.769230769230769,11.43,1.3918367346938776,0.6933901630471551,2.0,0,0.36131459503705876
Motorway A1 Corridor (Varvarin Municipality),116.32,5.0,9.0,14.0,38.31,6.55,44.85,99.36,16.96,19.872,1.8844444444444446,8.308571428571428,0.5555555555555556,35.714285714285715,7.662000000000001,0.7277777777777777,0.38557427785419535,2.0,0,0.3609972315191659
Motorway Autopista de la Mediterrània Corridor (Llagostera),82.55,3.0,14.0,17.0,35.41,17.51,52.93,54.98,27.57,18.326666666666664,1.9692857142857143,4.855882352941176,0.21428571428571427,17.647058823529413,11.803333333333333,1.250714285714286,0.6411871592973956,2.0,0,0.36097761183565097
Naas Bypass Highway Corridor (County Kildare),92.05,5.0,0.0,5.0,55.17,0.0,55.17,92.05,0.0,18.41,,18.41,,100.0,11.034,,0.5993481803367735,2.0,0,0.35949390489158856
Motorway M-40 Corridor (Pinto),60.34,3.0,2.0,5.0,33.35,1.64,34.99,57.49,2.84,19.163333333333334,1.42,12.068000000000001,1.5,60.0,11.116666666666667,0.82,0.5798806761683792,2.0,0,0.35847680470427057
Østjyske Motorvej Highway Corridor (Hedensted),100.72,5.0,3.0,8.0,44.9,2.25,47.14,96.6,4.12,19.32,1.3733333333333333,12.59,1.6666666666666667,62.5,8.98,0.75,0.4680301826846704,2.0,0,0.35844932405196367
Tauern Autobahn Highway Corridor (Torren),122.35,5.0,16.0,21.0,47.59,16.08,63.66,91.9,30.45,18.380000000000003,1.903125,5.826190476190476,0.3125,23.80952380952381,9.518,1.005,0.5203105843890478,2.0,0,0.3582318470076802
S5;91 Highway Corridor (Kiełp),97.53,3.0,20.0,23.0,24.97,16.62,41.59,59.13,38.39,19.71,1.9195,4.240434782608696,0.15,13.043478260869565,8.323333333333332,0.8310000000000001,0.4264328924433508,2.0,0,0.35724794323646386
Motorway A4 Corridor (Łosiów),129.68,4.0,30.0,34.0,39.83,33.57,73.4,71.27,58.4,17.8175,1.9466666666666665,3.814117647058824,0.13333333333333333,11.764705882352942,9.9575,1.119,0.5660086366440469,2.0,0,0.35698739811054636
Motorway Autostrada dei Vini Corridor (Pozzolo Formigaro),104.43,4.0,18.0,22.0,46.14,23.46,69.6,70.03,34.4,17.5075,1.911111111111111,4.746818181818182,0.2222222222222222,18.181818181818183,11.535,1.3033333333333335,0.6664751508187301,2.0,0,0.356126740546273
Motorway Autoroute de l’Est Corridor (Woël),75.03,3.0,11.0,14.0,35.22,13.0,48.22,54.57,20.47,18.19,1.8609090909090908,5.359285714285714,0.2727272727272727,21.428571428571427,11.74,1.1818181818181819,0.642676262828202,2.0,0,0.35597845981886916
Motorway Autostrada Adriatica Corridor (Ravenna),62.64,3.0,5.0,8.0,37.72,6.13,43.85,54.02,8.62,18.006666666666668,1.7239999999999998,7.83,0.6,37.5,12.573333333333332,1.226,0.7000319284802043,2.0,0,0.35561218886506707
Motorway A4 Corridor (Gołęczyna),97.47,4.0,12.0,16.0,39.15,10.71,49.85,74.7,22.77,18.675,1.8975,6.091875,0.3333333333333333,25.0,9.7875,0.8925000000000001,0.5114394172565918,2.0,0,0.3551732291800424
Motorway A 7 Corridor (Stangenroth),205.67,4.0,70.0,74.0,33.63,70.63,104.26,65.77,139.91,16.4425,1.9987142857142857,2.779324324324324,0.05714285714285714,5.405405405405405,8.4075,1.009,0.5069285749015413,2.0,0,0.354472676421582
Motorway A18 Corridor (Neiße-Malxetal),85.44,3.0,15.0,18.0,31.11,16.63,47.74,55.79,29.64,18.596666666666668,1.976,4.746666666666666,0.2,16.666666666666668,10.37,1.1086666666666667,0.5587546816479401,2.0,0,0.35434648134707286
Sønderjyske Motorvej Highway Corridor (Sønder Bjert),113.94,3.0,30.0,33.0,27.69,28.67,56.36,55.37,58.57,18.456666666666667,1.9523333333333333,3.4527272727272726,0.1,9.090909090909092,9.23,0.9556666666666668,0.49464630507284535,2.0,0,0.3539360797084198
M4 Route (Nagykörű),67.9,3.0,6.0,9.0,30.18,5.05,35.23,57.33,10.56,19.11,1.76,7.544444444444445,0.5,33.333333333333336,10.06,0.8416666666666667,0.5188512518409425,2.0,0,0.35226462884413445
Zubringer Lendorf Highway Corridor (Stockenboi),86.4,4.0,5.0,9.0,35.79,5.58,41.37,76.63,9.77,19.1575,1.954,9.600000000000001,0.8,44.44444444444444,8.9475,1.116,0.4788194444444444,2.0,0,0.3508920136318313
Motorway E 4 Corridor (Skåne County),137.46,6.0,21.0,27.0,65.24,17.68,82.91999999999999,99.46000000000001,38.0,16.576666666666668,1.8095238095238095,5.091111111111111,0.2857142857142857,22.22222222222222,10.873333333333333,0.8419047619047619,0.603230030554343,2.0,0,0.3507851318608431
Bärenburgtunnel Route (Sufers),84.26,3.0,16.0,19.0,34.16,19.01,53.17,53.08,31.18,17.69333333333333,1.94875,4.434736842105264,0.1875,15.789473684210526,11.386666666666665,1.188125,0.6310230239734156,2.0,0,0.35008664291354746
Sydmotorvejen Highway Corridor (Region Zealand),155.62,6.0,23.0,29.0,39.33,15.8,55.129999999999995,111.5,44.13,18.583333333333332,1.9186956521739131,5.3662068965517244,0.2608695652173913,20.689655172413794,6.555,0.6869565217391305,0.3542603778434648,3.0,0,0.34978293041661507
Motorway A 4 Corridor (Grevenbroich),164.78,3.0,57.0,60.0,24.53,53.66,78.2,51.54,113.24,17.18,1.9866666666666666,2.7463333333333333,0.05263157894736842,5.0,8.176666666666668,0.9414035087719298,0.4745721568151475,2.0,0,0.3474760893940915
Motorway A 38 Corridor (Berlingerode),138.02,4.0,35.0,39.0,37.36,36.6,73.97,68.66,69.35,17.165,1.9814285714285713,3.538974358974359,0.11428571428571428,10.256410256410257,9.34,1.0457142857142858,0.5359368207506158,2.0,0,0.34667846407107683
SE-30; A-4 Highway Corridor (Carmona),66.22,3.0,6.0,9.0,30.56,5.99,36.55,55.95,10.26,18.650000000000002,1.71,7.357777777777778,0.5,33.333333333333336,10.186666666666666,0.9983333333333334,0.551948051948052,2.0,0,0.34664988447152517
La Provençale Highway Corridor (Carros),103.16,4.0,19.0,23.0,46.74,25.15,71.9,66.89,36.27,16.7225,1.9089473684210527,4.485217391304348,0.21052631578947367,17.391304347826086,11.685,1.3236842105263158,0.6969755719271036,2.0,0,0.3466064933425367
Sønderjyske Motorvej Highway Corridor (Kliplev),105.89,3.0,26.0,29.0,27.92,26.45,54.37,54.21,51.67,18.07,1.9873076923076924,3.6513793103448275,0.11538461538461539,10.344827586206897,9.306666666666667,1.0173076923076922,0.5134573614127869,2.0,0,0.3465800218518068
D1 Highway Corridor (Trpišovice),118.48,4.0,26.0,30.0,43.53,33.44,76.96,66.99,51.5,16.7475,1.9807692307692308,3.9493333333333336,0.15384615384615385,13.333333333333334,10.8825,1.286153846153846,0.6495611073598919,2.0,0,0.3462107791927883
Motorway Autoroute de Wallonie Corridor (Thuin),93.67,4.0,11.0,15.0,37.33,11.24,48.58,73.38,20.29,18.345,1.8445454545454545,6.244666666666666,0.36363636363636365,26.666666666666668,9.3325,1.0218181818181817,0.5186292302765025,2.0,0,0.3459414476493511
Sydmotorvejen Highway Corridor (Maribo),108.47,4.0,17.0,21.0,31.16,13.91,45.07,74.82,33.65,18.705,1.9794117647058822,5.165238095238095,0.23529411764705882,19.047619047619047,7.79,0.8182352941176471,0.4155065916843367,2.0,0,0.3439432785816156
S17 Highway Corridor (Dębe Małe),79.12,4.0,3.0,7.0,37.17,2.27,39.44,74.37,4.75,18.5925,1.5833333333333333,11.302857142857144,1.3333333333333333,57.142857142857146,9.2925,0.7566666666666667,0.4984833164812942,2.0,0,0.34358644552733336
Blå vägen Route (Gäddträsk),60.15,3.0,0.0,3.0,22.79,0.0,22.79,60.15,0.0,20.05,,20.05,,100.0,7.596666666666667,,0.37888611803823774,2.0,0,0.34246772565343536
Motorway Autostrada Adriatica Corridor (Faenza),70.57,4.0,1.0,5.0,47.26,1.24,48.5,68.73,1.84,17.1825,1.84,14.113999999999999,4.0,80.0,11.815,1.24,0.6872608757262293,2.0,0,0.34181702390592794
L'Aquitaine Highway Corridor (Celles-sur-Belle),74.41,3.0,12.0,15.0,33.89,15.09,48.98,52.13,22.28,17.37666666666667,1.8566666666666667,4.960666666666667,0.25,20.0,11.296666666666667,1.2575,0.6582448595618868,2.0,0,0.3416892515445416
Donauufer Autobahn Highway Corridor (Karnabrunn),70.56,3.0,9.0,12.0,31.82,9.2,41.01,53.6,16.96,17.866666666666667,1.8844444444444446,5.88,0.3333333333333333,25.0,10.606666666666667,1.0222222222222221,0.5812074829931972,2.0,0,0.3412919477643771
Motorway Autostrada Serenissima Corridor (San Stino di Livenza),155.87,3.0,54.0,57.0,28.47,67.05,95.52,48.45,107.42,16.150000000000002,1.9892592592592593,2.734561403508772,0.05555555555555555,5.2631578947368425,9.49,1.2416666666666667,0.6128183742862642,1.0,0,0.3410836591934324
S5 Highway Corridor (Bydgoszcz County),72.35,3.0,9.0,12.0,26.83,7.42,34.25,56.21,16.14,18.736666666666668,1.7933333333333334,6.029166666666666,0.3333333333333333,25.0,8.943333333333333,0.8244444444444444,0.47339322736696615,2.0,0,0.34028653759882643
Wschodnia Obwodnica GOP Highway Corridor (Suszec),75.84,3.0,12.0,15.0,30.71,13.5,44.21,53.59,22.25,17.863333333333333,1.8541666666666667,5.056,0.25,20.0,10.236666666666666,1.125,0.5829377637130801,2.0,0,0.3402700255371718
Motorway A 7 Corridor (Moisburg),109.52,3.0,29.0,32.0,28.41,30.63,59.04,52.14,57.38,17.38,1.9786206896551726,3.4225,0.10344827586206896,9.375,9.47,1.0562068965517242,0.5390796201607012,2.0,0,0.3401765195954652
Motorway Autoroute de Dudelange Corridor (Kœnigsmacker),111.74,4.0,22.0,26.0,39.85,27.19,67.05,68.09,43.66,17.0225,1.9845454545454544,4.297692307692308,0.18181818181818182,15.384615384615385,9.9625,1.235909090909091,0.6000536960801861,2.0,0,0.34016784441980924
Motorway A1 Corridor (Backa Topola Municipality),63.04,3.0,2.0,5.0,23.09,1.88,24.98,59.12,3.92,19.706666666666667,1.96,12.608,1.5,60.0,7.696666666666666,0.94,0.396256345177665,2.0,0,0.33982017561473965
La Comtoise Highway Corridor (Anteuil),73.28,3.0,12.0,15.0,34.75,14.37,49.12,51.23,22.05,17.076666666666664,1.8375000000000001,4.8853333333333335,0.25,20.0,11.583333333333334,1.1975,0.6703056768558951,2.0,0,0.33960908883210755
Motorway Autostrada Wolności Corridor (Trąbczyn Dworski),130.46,3.0,40.0,43.0,27.27,38.98,66.25,50.51,79.95,16.836666666666666,1.99875,3.0339534883720933,0.075,6.976744186046512,9.09,0.9744999999999999,0.507818488425571,2.0,0,0.33770832544149776
Motorway Autostrada Firenze-Mare Corridor (Ponte Buggianese),77.37,4.0,6.0,10.0,46.18,6.97,53.15,67.02,10.35,16.755,1.7249999999999999,7.737,0.6666666666666666,40.0,11.545,1.1616666666666666,0.6869587695489208,2.0,0,0.33659784231453393
D2 Highway Corridor (Bratislava),123.38,3.0,37.0,40.0,26.58,40.43,67.02,51.17,72.2,17.05666666666667,1.9513513513513514,3.0845,0.08108108108108109,7.5,8.86,1.0927027027027028,0.5431998703193386,2.0,0,0.33621553070530763
Motorway A37 Corridor (Kerkenveld),83.54,4.0,7.0,11.0,38.28,6.27,44.55,70.95,12.58,17.7375,1.7971428571428572,7.594545454545455,0.5714285714285714,36.36363636363637,9.57,0.8957142857142857,0.5332774718697629,2.0,0,0.33621014701700547
DN7 Corridor (Temeșești),59.61,3.0,4.0,7.0,33.94,4.58,38.52,51.95,7.66,17.316666666666666,1.915,8.515714285714285,0.75,42.857142857142854,11.313333333333333,1.145,0.646200301962758,2.0,0,0.33567825835815196
Motorway Autoroute des Anglais Corridor (Souligny),91.59,4.0,14.0,18.0,45.95,17.34,63.29,64.95,26.64,16.2375,1.9028571428571428,5.088333333333334,0.2857142857142857,22.22222222222222,11.4875,1.2385714285714287,0.6910143028714925,2.0,0,0.33455235963897706
Süd Autobahn Highway Corridor (Wolfsberg),74.97,3.0,11.0,14.0,27.33,12.3,39.62,54.24,20.73,18.080000000000002,1.8845454545454545,5.3549999999999995,0.2727272727272727,21.428571428571427,9.11,1.1181818181818182,0.5284780578898226,2.0,0,0.3339778375788288
Motorway E40 Corridor (Aalter),139.81,4.0,38.0,42.0,37.05,45.07,82.12,64.7,75.11,16.175,1.976578947368421,3.328809523809524,0.10526315789473684,9.523809523809524,9.2625,1.1860526315789475,0.5873685716329304,2.0,0,0.33381697037498237
Motorway Autopista del Noroeste Corridor (Navas de San Antonio),76.79,3.0,13.0,16.0,31.54,14.38,45.93,51.5,25.29,17.166666666666668,1.9453846153846153,4.799375,0.23076923076923078,18.75,10.513333333333334,1.1061538461538463,0.5981247558275816,2.0,0,0.3336945315092851
Motorway Autoroute du Soleil Corridor (Saint-Thibault),85.45,4.0,10.0,14.0,44.66,13.13,57.8,65.92,19.53,16.48,1.953,6.103571428571429,0.4,28.571428571428573,11.165,1.3130000000000002,0.6764189584552369,2.0,0,0.33297062580080805
Motorway A12 Corridor (Hollandsche Rading),153.04,4.0,45.0,49.0,36.58,49.78,86.37,63.24,89.8,15.81,1.9955555555555555,3.1232653061224487,0.08888888888888889,8.16326530612245,9.145,1.1062222222222222,0.5643622582331417,2.0,0,0.3329320715000272
Motorway E 4 Corridor (Uppsala County),106.02000000000001,6.0,6.0,12.0,63.0,4.59,67.59,97.69,8.32,16.281666666666666,1.3866666666666667,8.835,1.0,50.0,10.5,0.765,0.6375212224108658,2.0,0,0.3326390169099775
М1 Highway Corridor (Высокаўскі сельскі Савет),60.48,3.0,3.0,6.0,27.81,2.89,30.7,54.7,5.78,18.233333333333334,1.9266666666666667,10.08,1.0,50.0,9.27,0.9633333333333334,0.5076058201058201,2.0,0,0.33197950240525703
Motorway E 60 Corridor (Tullnerbach),130.31,4.0,33.0,37.0,36.83,35.06,71.89,65.11,65.21,16.2775,1.9760606060606059,3.521891891891892,0.12121212121212122,10.81081081081081,9.2075,1.0624242424242425,0.5516844447855115,2.0,0,0.3312833928174246
Motorway A 7 Corridor (Norderstedt),125.82,3.0,39.0,42.0,26.67,41.88,68.56,49.7,76.12,16.566666666666666,1.9517948717948719,2.9957142857142856,0.07692307692307693,7.142857142857143,8.89,1.073846153846154,0.5449054204419012,1.0,0,0.33094646770123
Motorway A 8 Corridor (Gundelfingen an der Donau),83.39,3.0,16.0,19.0,27.54,16.17,43.72,52.58,30.81,17.526666666666667,1.925625,4.388947368421053,0.1875,15.789473684210526,9.18,1.010625,0.5242834872286845,2.0,0,0.33036109578299155
Motorway Autovía de Sierra Nevada Corridor (Fuente Vaqueros),54.08,3.0,1.0,4.0,32.11,1.2,33.31,52.19,1.89,17.396666666666665,1.89,13.52,3.0,75.0,10.703333333333333,1.2,0.6159393491124261,2.0,0,0.32995338784722383
Motorway Autovía Ruta de la Plata Corridor (Parada de Arriba),75.44,3.0,12.0,15.0,27.44,11.02,38.46,53.2,22.25,17.733333333333334,1.8541666666666667,5.029333333333333,0.25,20.0,9.146666666666667,0.9183333333333333,0.5098091198303287,2.0,0,0.32991580247185914
Valkas iela Route (Jērcēnu pagasts),87.49,3.0,20.0,23.0,33.49,26.14,59.64,48.49,39.0,16.163333333333334,1.95,3.8039130434782606,0.15,13.043478260869565,11.163333333333334,1.307,0.6816779060464053,1.0,0,0.3295686758345632
Motorway A 34 Corridor (Val-de-Vesle),125.19,4.0,32.0,36.0,42.48,44.9,87.38,61.64,63.55,15.41,1.9859375,3.4775,0.125,11.11111111111111,10.62,1.403125,0.6979790718108475,2.0,0,0.32915612324537935
Motorway A2 Corridor (Mergoscia),71.33,3.0,11.0,14.0,32.98,13.83,46.8,49.87,21.46,16.62333333333333,1.950909090909091,5.095,0.2727272727272727,21.428571428571427,10.993333333333332,1.2572727272727273,0.6561054254871723,1.0,0,0.32838500170976537
D5 Highway Corridor (Stod),84.34,3.0,17.0,20.0,29.1,19.36,48.45,50.67,33.67,16.89,1.9805882352941178,4.2170000000000005,0.17647058823529413,15.0,9.700000000000001,1.1388235294117646,0.5744605169551814,2.0,0,0.32646855361119753
Motorway Autostrada dei Fiori Corridor (Villa Faraldi),102.8,3.0,28.0,31.0,32.0,37.42,69.41,47.17,55.63,15.723333333333334,1.9867857142857144,3.3161290322580643,0.10714285714285714,9.67741935483871,10.666666666666666,1.3364285714285715,0.6751945525291828,1.0,0,0.3254973734196925
Strada Statale 3 bis Tiberina Route (Cusercoli),56.74,3.0,4.0,7.0,33.18,4.79,37.98,50.01,6.73,16.669999999999998,1.6825,8.105714285714287,0.75,42.857142857142854,11.06,1.1975,0.6693690518152978,2.0,0,0.3242309970189733
Motorway Autoroute de la Maurienne Corridor (La Léchère),60.12,3.0,6.0,9.0,33.92,7.78,41.7,49.03,11.09,16.343333333333334,1.8483333333333334,6.68,0.5,33.333333333333336,11.306666666666667,1.2966666666666666,0.6936127744510979,1.0,0,0.3231238541270738
Motorway M6 Corridor (Lostock Gralam),60.25,3.0,6.0,9.0,32.6,7.01,39.61,49.58,10.67,16.526666666666667,1.7783333333333333,6.694444444444445,0.5,33.333333333333336,10.866666666666667,1.1683333333333332,0.6574273858921161,1.0,0,0.3221234000131414
Motorway A 4 Corridor (Frankenberg/Sachsen),161.64,3.0,58.0,61.0,24.06,61.24,85.29,46.12,115.52,15.373333333333333,1.9917241379310344,2.64983606557377,0.05172413793103448,4.918032786885246,8.02,1.0558620689655174,0.527654046028211,1.0,0,0.3215660827411869
Motorway Autoroute du Soleil Corridor (Courtenay),94.2,3.0,23.0,26.0,29.73,29.95,59.68,48.19,46.0,16.063333333333333,2.0,3.623076923076923,0.13043478260869565,11.538461538461538,9.91,1.3021739130434782,0.6335456475583864,1.0,0,0.3209041072831856
Motorway Autoroute des Anglais Corridor (Labourse),129.36,3.0,43.0,46.0,29.63,55.68,85.31,45.3,84.06,15.1,1.9548837209302325,2.8121739130434786,0.06976744186046512,6.521739130434782,9.876666666666667,1.2948837209302326,0.6594774273345702,1.0,0,0.3208185806613536
Turku-Paimio Moottoritie Highway Corridor (Kaarina),127.48,4.0,28.0,32.0,21.31,16.62,37.93,71.5,55.98,17.875,1.999285714285714,3.98375,0.14285714285714285,12.5,5.3275,0.5935714285714286,0.2975368685283966,2.0,0,0.320771526281344
Pražský okruh Highway Corridor (Odolena Voda),104.33,4.0,21.0,25.0,38.3,25.18,63.48,63.87,40.46,15.9675,1.9266666666666667,4.1732,0.19047619047619047,16.0,9.575,1.1990476190476191,0.6084539442154702,2.0,0,0.3207060960382661
Aleksander Puškini Route (Jaama District),45.19,2.0,7.0,9.0,23.5,8.52,32.02,32.57,12.62,16.285,1.8028571428571427,5.021111111111111,0.2857142857142857,22.22222222222222,11.75,1.217142857142857,0.7085638415578669,1.0,0,0.3204205559506589
Motorway A3 Corridor (Grad Kutina),83.88,4.0,6.0,10.0,27.73,4.58,32.31,72.23,11.66,18.0575,1.9433333333333334,8.388,0.6666666666666666,40.0,6.9325,0.7633333333333333,0.38519313304721037,2.0,0,0.3199006492979002
Trasa Bohaterów Bitwy Warszawskiej 1920 r. Highway Corridor (Cieśle),103.94,4.0,19.0,23.0,31.65,18.95,50.59,67.65,36.29,16.9125,1.91,4.519130434782609,0.21052631578947367,17.391304347826086,7.9125,0.9973684210526316,0.4867231094862421,2.0,0,0.3198954065607727
La Transeuropéenne Highway Corridor (Rosiers-d'Égletons),74.73,3.0,14.0,17.0,32.94,17.73,50.67,47.65,27.08,15.883333333333333,1.9342857142857142,4.395882352941177,0.21428571428571427,17.647058823529413,10.979999999999999,1.2664285714285715,0.6780409474106784,1.0,0,0.31986639804511724
Motorway A 7 Corridor (Soltau),98.42,3.0,25.0,28.0,25.93,25.85,51.78,49.65,48.77,16.55,1.9508,3.515,0.12,10.714285714285714,8.643333333333333,1.034,0.5261125787441577,1.0,0,0.3188807036872062
La Comtoise Highway Corridor (Essert),128.16,2.0,49.0,51.0,19.03,64.51,83.54,30.34,97.82,15.17,1.9963265306122449,2.512941176470588,0.04081632653061224,3.9215686274509802,9.515,1.316530612244898,0.6518414481897629,1.0,0,0.31847120330012424
